date,equity
2024-09-01,10000.0
2024-09-02,10000.0
2024-09-03,10000.0
2024-09-04,10000.0
2024-09-05,10000.0
2024-09-06,10000.0
2024-09-07,10000.0
2024-09-08,10000.0
2024-09-09,10000.0
2024-09-10,10000.0
2024-09-11,10000.0
2024-09-12,10000.0
2024-09-13,10000.0
2024-09-14,10000.0
2024-09-15,10000.0
2024-09-16,9931.525041733905
2024-09-17,10070.300041733904
2024-09-18,10070.300041733904
2024-09-19,10070.300041733904
2024-09-20,10070.300041733904
2024-09-21,10070.300041733904
2024-09-22,10070.300041733904
2024-09-23,10070.300041733904
2024-09-24,10070.300041733904
2024-09-25,10070.300041733904
2024-09-26,10070.300041733904
2024-09-27,10070.300041733904
2024-09-28,10070.300041733904
2024-09-29,10070.300041733904
2024-09-30,10066.491223125018
2024-10-01,9948.88122312502
2024-10-02,9964.47122312502
2024-10-03,9797.85522312502
2024-10-04,9797.85522312502
2024-10-05,9797.85522312502
2024-10-06,9797.85522312502
2024-10-07,9797.85522312502
2024-10-08,9797.85522312502
2024-10-09,9797.85522312502
2024-10-10,9797.85522312502
2024-10-11,9797.85522312502
2024-10-12,9797.85522312502
2024-10-13,9797.85522312502
2024-10-14,9793.980020190009
2024-10-15,9761.680020190008
2024-10-16,9732.980020190009
2024-10-17,9771.010020190008
2024-10-18,9796.640020190009
2024-10-19,9796.010020190008
2024-10-20,9795.320020190009
2024-10-21,9781.476746921122
2024-10-22,9784.726996921121
2024-10-23,9784.726996921121
2024-10-24,9784.726996921121
2024-10-25,9784.726996921121
2024-10-26,9784.726996921121
2024-10-27,9784.726996921121
2024-10-28,9764.320766086958
2024-10-29,9910.357516086959
2024-10-30,9910.357516086959
2024-10-31,9910.357516086959
2024-11-01,9910.357516086959
2024-11-02,9910.357516086959
2024-11-03,9910.357516086959
2024-11-04,9898.475375537753
2024-11-05,10138.941375537752
2024-11-06,10138.941375537752
2024-11-07,10138.941375537752
2024-11-08,10138.941375537752
2024-11-09,10138.941375537752
2024-11-10,10138.941375537752
2024-11-11,10094.50228949176
2024-11-12,10240.61578949176
2024-11-13,10240.61578949176
2024-11-14,10240.61578949176
2024-11-15,10240.61578949176
2024-11-16,10240.61578949176
2024-11-17,10240.61578949176
2024-11-18,10229.113423193034
2024-11-19,10308.924423193033
2024-11-20,10308.924423193033
2024-11-21,10308.924423193033
2024-11-22,10308.924423193033
2024-11-23,10308.924423193033
2024-11-24,10308.924423193033
2024-11-25,10308.924423193033
2024-11-26,10308.924423193033
2024-11-27,10308.924423193033
2024-11-28,10308.924423193033
2024-11-29,10308.924423193033
2024-11-30,10308.924423193033
2024-12-01,10308.924423193037
