date,equity
2024-11-11,9980.090797309025
2024-11-12,10098.859797309025
2024-11-13,10098.859797309025
2024-11-14,10098.859797309025
2024-11-15,10098.859797309025
2024-11-16,10098.859797309025
2024-11-17,10098.859797309025
2024-11-18,10093.021697624017
2024-11-19,10257.137947624016
2024-11-20,10257.137947624016
2024-11-21,10257.137947624016
2024-11-22,10257.137947624016
2024-11-23,10257.137947624016
2024-11-24,10257.137947624016
2024-11-25,10251.385313566647
2024-11-26,10261.211063566647
2024-11-27,10261.211063566647
2024-11-28,10261.211063566647
2024-11-29,10261.211063566647
2024-11-30,10261.211063566647
2024-12-01,10261.211063566649
