date,equity
2024-09-01,10000.0
2024-09-02,9988.390608955262
2024-09-03,9988.180608955263
2024-09-04,9988.660608955262
2024-09-05,9988.360608955261
2024-09-06,9988.230608955262
2024-09-07,9988.270608955261
2024-09-08,9988.320608955262
2024-09-09,9961.518230507798
2024-09-10,10411.120980507798
2024-09-11,10411.290980507798
2024-09-12,10411.260980507797
2024-09-13,10411.300980507798
2024-09-14,10411.360980507798
2024-09-15,10411.420980507797
2024-09-16,10318.823680520925
2024-09-17,10323.328180520926
2024-09-18,10323.398180520926
2024-09-19,10323.458180520925
2024-09-20,10311.662430520926
2024-09-21,10311.662430520926
2024-09-22,10311.662430520926
2024-09-23,10248.89395877261
2024-09-24,10276.763958772612
2024-09-25,10327.923208772612
2024-09-26,10327.923208772612
2024-09-27,10327.923208772612
2024-09-28,10327.923208772612
2024-09-29,10327.923208772612
2024-09-30,10263.31385041093
2024-10-01,9904.79385041093
2024-10-02,9912.79385041093
2024-10-03,9722.393850410928
2024-10-04,10345.601850410929
2024-10-05,10345.601850410929
2024-10-06,10345.601850410929
2024-10-07,10254.074782544261
2024-10-08,10222.244782544261
2024-10-09,10396.740032544261
2024-10-10,10396.740032544261
2024-10-11,10396.740032544261
2024-10-12,10396.740032544261
2024-10-13,10396.740032544261
2024-10-14,10316.873155380279
2024-10-15,10279.683155380279
2024-10-16,10227.46315538028
2024-10-17,10234.47315538028
2024-10-18,10251.363155380279
2024-10-19,10265.05315538028
2024-10-20,10279.13315538028
2024-10-21,10290.466332118305
2024-10-22,10343.824082118304
2024-10-23,10343.824082118304
2024-10-24,10343.824082118304
2024-10-25,10343.824082118304
2024-10-26,10343.824082118304
2024-10-27,10343.824082118304
2024-10-28,10305.172151022654
2024-10-29,10501.992651022654
2024-10-30,10501.992651022654
2024-10-31,10501.992651022654
2024-11-01,10501.992651022654
2024-11-02,10501.992651022654
2024-11-03,10501.992651022654
2024-11-04,10413.37085248101
2024-11-05,10484.58460248101
2024-11-06,10484.58460248101
2024-11-07,10484.58460248101
2024-11-08,10484.58460248101
2024-11-09,10484.58460248101
2024-11-10,10484.58460248101
2024-11-11,10310.689645410164
2024-11-12,10431.389645410165
2024-11-13,10466.936395410165
2024-11-14,10466.936395410165
2024-11-15,10466.936395410165
2024-11-16,10466.936395410165
2024-11-17,10466.936395410165
2024-11-18,10434.020513184572
2024-11-19,10421.300513184573
2024-11-20,10329.190513184572
2024-11-21,10418.580513184574
2024-11-22,10498.017013184573
2024-11-23,10498.017013184573
2024-11-24,10498.017013184573
2024-11-25,10468.159040662262
2024-11-26,10479.409040662262
2024-11-27,10486.31504066226
2024-11-28,10486.31504066226
2024-11-29,10486.31504066226
2024-11-30,10486.31504066226
2024-12-01,10486.315040662259
